8940, 4300,
600, 480,
580, 1560,
600, 1560,
600, 1560,
600, 480,
580, 1560,
600, 1560,
600, 1560,
600, 1560,
580, 1560,
620, 1540,
600, 480,
580, 480,
600, 480,
600, 480,
600, 1560,
580, 1560,
600, 1560,
580, 1580,
580, 1560,
600, 1560,
600, 480,
580, 1580,
580, 480,
580, 500,
580, 500,
580, 500,
580, 1560,
600, 480,
580, 1560,
600, 480,
580, 1600,
580, 35380,
8880, 4320,
600, 480,
580, 1580,
580, 1560,
600, 1560,
600, 480,
580, 1580,
580, 1560,
580, 1580,
580, 1580,
580, 1560,
600, 1560,
600, 480,
580, 500,
580, 480,
600, 480,
580, 1580,
580, 1560,
600, 480,
600, 1560,
580, 480,
600, 480,
580, 500,
580, 500,
580, 500,
580, 480,
580, 500,
580, 480,
600, 1560,
600, 480,
580, 1580,
580, 480,
600, 1580,
580, 0};
